trial_number,value,rmse,state,seq_length,lr,kernel_size,dropout,n_ch1,n_ch2,weight_decay,n_ch3,batch_size
0,0.0010823426370825443,0.03289897623152648,COMPLETE,4200,0.00101568460453799,5,0.22275377363206283,96,48,1.786277322514348e-05,32,448
1,0.00206510243109224,0.04544339810238931,COMPLETE,4800,0.00020778633461036498,2,0.1445526747082902,64,64,2.974254311421488e-05,80,256
2,0.0015545313962917588,0.0394275461611772,COMPLETE,4800,0.0012288447920884356,5,0.45343189558778835,112,16,5.587884776634549e-06,16,320
3,0.003330476657564821,0.057710282078368154,COMPLETE,5400,0.002526291936277602,2,0.06073523185808333,112,112,0.00015863607207259852,80,32
4,0.0036077487444136063,0.0600645381603289,COMPLETE,7200,0.0031349640708249566,2,0.22985827581728135,96,48,0.0003423878633685095,80,224
5,0.0035372843291415572,0.05947507317474739,PRUNED,5400,0.0008592742019484427,3,0.39950487672441803,48,96,0.0005970650518234184,80,352
6,0.0028668868527451908,0.05354331753585307,PRUNED,4800,0.005692388532365938,2,0.2611458199138454,48,64,1.2079162110359234e-05,128,480
7,0.003235510824616734,0.05688155082816162,PRUNED,3600,0.005684653700144626,3,0.08818090545660157,64,32,0.00016997831347629155,96,288
8,0.0030427124250242046,0.05516078702324872,PRUNED,6000,0.003050946858939253,5,0.09243122508169316,112,32,0.0003073828844173461,48,256
9,0.003054833377923,0.05527054711076235,PRUNED,4800,0.0009642958501893385,2,0.35843041489025346,80,96,7.161231039391234e-06,16,224
10,0.00319664137734456,0.056538848390682316,PRUNED,3600,0.0002047448711597384,4,0.25604466427221567,16,128,1.0133263797548256e-06,48,512
11,0.00303251057931529,0.055068235665538534,PRUNED,4200,0.0006501747147971133,5,0.44103164664647587,128,16,3.1092792761158964e-06,16,416
12,0.0028468039066903263,0.053355448706672186,PRUNED,4200,0.0004062711879691464,4,0.4874250129897622,128,16,3.5602736169545654e-05,32,384
13,0.00282532687882177,0.05315380399201707,PRUNED,6600,0.0017275603126794942,5,0.33831477186127373,96,48,2.7596529483263554e-05,48,96
14,0.001006056726032361,0.03171839728032236,COMPLETE,4200,0.00035247801180748623,4,0.19268518757649247,96,32,3.0518128575606775e-06,32,448
15,0.003040683774872697,0.05514239544010304,PRUNED,4200,0.00010497414311299064,4,0.17424288805831584,80,48,2.126841263754286e-06,32,448
16,0.0010055467862956661,0.031710357713145815,COMPLETE,3600,0.0003780941899083912,4,0.009041420787863186,96,80,1.4805489298992963e-05,32,512
17,0.002808646345589391,0.052996663532616756,PRUNED,3600,0.0003928209118160319,3,0.01936396449731198,16,80,6.696028075943779e-05,64,512
18,0.0007941118591811143,0.028179990404205504,COMPLETE,3600,0.0003950137262021908,4,0.02647498038188717,80,80,1.0310608589865302e-06,112,160
19,0.0006947824256168739,0.026358725796534133,COMPLETE,3600,0.0001738324823643748,4,0.01000571348900567,48,80,1.1342523294303803e-06,128,160
20,0.002629199623859562,0.051275721583021745,PRUNED,6000,0.00010743444529796306,3,0.1302564667143094,32,96,1.0938093605608515e-06,128,160
21,0.0008131829261201085,0.028516362427913357,COMPLETE,3600,0.00020369706864711186,4,0.0091739230916313,48,80,1.759669096272754e-06,112,160
22,0.0008503426821832134,0.029160635832972046,COMPLETE,3600,0.00018510893623000643,4,0.042608049647001656,48,80,1.9489736483897266e-06,112,160
23,0.0007350044405960513,0.027110965320254667,COMPLETE,3600,0.0001574021856230776,4,0.0011381078634530653,32,112,1.6208156879075272e-06,112,128
24,0.0008891678014077691,0.029818916838271793,COMPLETE,4200,0.00014207163791201736,4,0.07232231810375772,32,128,5.762662094473222e-06,112,96
25,0.0023642783974151538,0.04862384597515044,PRUNED,3600,0.0002631250489352424,3,0.12143603842534552,32,112,1.0651487682012509e-06,128,96
26,0.0009647696699884743,0.03106074162006558,COMPLETE,5400,0.0005111755851748902,4,0.05162412866201986,64,112,3.9054491686676716e-06,96,32
27,0.002517354042826287,0.05017324030622586,PRUNED,4200,0.00014348504339064904,3,0.03240451951885953,32,96,1.763289075512259e-06,96,192
28,0.000703234267674187,0.026518564585478358,COMPLETE,3600,0.0002823489584522534,4,0.00041227779216229665,80,64,9.366703372569503e-06,112,128
29,0.0008795211787824195,0.029656722320283803,COMPLETE,4200,0.00014601754447754985,5,0.10913961788035051,16,64,9.849734842030526e-06,128,64
30,0.0023980060271741968,0.04896943972697867,PRUNED,4800,0.0002910267823411054,5,0.16054533333322887,64,112,6.767712098262521e-05,112,96
31,0.0008817133538721274,0.029693658479078112,COMPLETE,3600,0.0006277689984266229,4,0.009197643374449394,80,64,3.471906147598874e-06,112,128
32,0.0007734838605011385,0.027811577813945373,COMPLETE,3600,0.0002708724192393274,4,0.0013925828570773735,80,80,1.5755287425585942e-06,96,192
33,0.0018750077582210087,0.04330135977334902,PRUNED,4200,0.00029840485945798796,4,0.06585097660265277,64,64,7.862804424368475e-06,96,192
34,0.0019779585083833004,0.044474245450409844,PRUNED,3600,0.00023911952158684962,4,0.048050274723695774,48,96,4.537880377523157e-06,128,128
35,0.0018893400207243716,0.04346653909301236,PRUNED,4200,0.0001637443571936433,5,0.0898790890560262,80,48,2.6464095766683067e-06,96,224
36,0.0019277018765439667,0.04390560188112636,PRUNED,4800,0.00010045839221380253,4,0.007908243804963527,64,128,1.4299336676631166e-06,112,192
37,0.002124040579231225,0.04608731473226906,PRUNED,3600,0.0005673736063405842,3,0.06574561088130616,32,80,5.1035572356828175e-06,128,128
38,0.0027322380630369655,0.052270814639117355,PRUNED,7200,0.00022990543983734214,4,0.039301315104060895,48,96,2.5350583782371642e-05,80,256
39,0.002018778681314464,0.04493082106210017,PRUNED,6000,0.0012875479624143017,5,0.20192954582666137,112,64,1.5453899372611664e-06,96,320
40,0.0037730359800920267,0.06142504359047722,PRUNED,4800,0.00012889213425773885,3,0.3231517648791616,80,112,0.0009216698998819303,64,64
41,0.0014530863902860794,0.03811937027662025,PRUNED,3600,0.0004630158762145642,4,0.033653172144249045,80,80,2.471512357657474e-06,112,160
42,0.0007842983858134794,0.028005327811212625,COMPLETE,3600,0.0007696769816095311,4,0.0009207440762939286,96,80,1.2728498482320988e-06,112,192
43,0.002662775724184884,0.05160209030828968,PRUNED,3600,0.00799436862544322,4,0.0008947582067276412,96,64,1.3914399155527705e-06,128,224
44,0.002427919710889703,0.04927392526366966,PRUNED,4200,0.0008053750890284748,4,0.2912064641676639,96,96,2.298030656779573e-06,96,288
45,0.002097114452165562,0.04579426221881473,PRUNED,3600,0.0019579743537697096,4,0.084314780447261,112,48,6.501085241302632e-06,112,192
46,0.002076931339895688,0.04557336217458273,PRUNED,3600,0.0003203768602766527,4,0.10507839172566516,96,64,9.657340247830459e-06,128,128
47,0.000669027315008713,0.02586556233698995,COMPLETE,4800,0.0001772147618278108,5,0.0005148079734118756,64,80,1.3062247679724961e-06,80,224
48,0.0006930687334225666,0.02632619861321734,COMPLETE,5400,0.00017913145221268135,5,0.060541517692361324,64,96,3.5809734387900044e-06,80,64
49,0.0008226458645252153,0.028681803718127896,COMPLETE,5400,0.00018062060290612394,5,0.05935585053206294,48,112,3.3884931524695688e-06,64,32
